组播,#genre#
上海欢笑剧场,http://1.192.244.238:8188/rtp/239.16.20.39:10390
上海动漫秀场,http://1.192.244.238:8188/rtp/239.16.20.40:10400
上海东方财经,http://1.192.244.238:8188/rtp/239.16.20.64:10640
上海法治天地,http://1.192.244.238:8188/rtp/239.16.20.156:11560
上海乐游纪实,http://1.192.244.238:8188/rtp/239.16.20.111:11110
上海游戏风云,http://1.192.244.238:8188/rtp/239.16.20.112:11120
上海魅力足球,http://1.192.244.238:8188/rtp/239.16.20.113:11130
上海生活时尚,http://1.192.244.238:8188/rtp/239.16.20.114:11140
上海金色学堂,http://1.192.244.238:8188/rtp/239.16.20.115:11150
湖南金鹰纪实,http://1.192.244.238:8188/rtp/239.16.20.153:11530
湖南金鹰卡通,http://1.192.244.238:8188/rtp/239.16.20.104:11040
湖南快乐垂钓,http://1.192.244.238:8188/rtp/239.16.20.67:10670
湖南茶频道,http://1.192.244.238:8188/rtp/239.16.20.68:10680
IPTV导视,http://1.192.244.238:8188/rtp/239.16.10.218:2000
体育赛事,http://1.192.244.238:8188/rtp/239.16.20.128:11280
中华特产,http://1.192.244.238:8188/rtp/239.16.20.132:11320
商丘1新闻综合,http://1.192.244.238:8188/rtp/239.16.10.153:2000
商丘2公共频道,http://1.192.244.238:8188/rtp/239.16.10.168:2000
商丘3文体科教,http://1.192.244.238:8188/rtp/239.16.10.169:2000
许昌农业科教,http://1.192.244.238:8188/rtp/239.16.10.60:2000
许昌综合频道,http://1.192.244.238:8188/rtp/239.16.10.47:2000
平顶山新闻综合,http://1.192.244.238:8188/rtp/239.16.20.137:11370
平顶山城市频道,http://1.192.244.238:8188/rtp/239.16.20.151:11510
平顶山公共频道,http://1.192.244.238:8188/rtp/239.16.20.152:11520
平顶山教育台,http://1.192.244.238:8188/rtp/239.16.20.27:10270
新乡综合频道,http://1.192.244.238:8188/rtp/239.16.20.18:10180
邓州综合频道,http://1.192.244.238:8188/rtp/239.16.20.20:10200
获嘉综合频道,http://1.192.244.238:8188/rtp/239.16.20.25:10250
平煤安全环保,http://1.192.244.238:8188/rtp/239.16.20.31:10310
荥阳综合频道,http://1.192.244.238:8188/rtp/239.16.20.44:10440
健康河南融媒,http://1.192.244.238:8188/rtp/239.16.20.52:10520
灵宝综合频道,http://1.192.244.238:8188/rtp/239.16.20.59:10590
渑池新闻综合,http://1.192.244.238:8188/rtp/239.16.20.135:11350
济源-1,http://1.192.244.238:8188/rtp/239.16.20.174:11740
濮阳新闻综合,http://1.192.244.238:8188/rtp/239.16.20.175:11750
濮阳公共频道,http://1.192.244.238:8188/rtp/239.16.20.184:11840
新县综合频道,http://1.192.244.238:8188/rtp/239.16.20.183:11830
延津电视台,http://1.192.244.238:8188/rtp/239.16.20.210:12100
体育赛事,http://1.192.244.238:8188/rtp/239.16.20.215:12150
大象新闻,http://1.192.244.238:8188/rtp/239.16.20.216:12160
大剧院,http://1.192.244.238:8188/rtp/239.16.20.217:12170
舞钢电视台-1,http://1.192.244.238:8188/rtp/239.16.20.227:12270
嵩县综合新闻,http://1.192.244.238:8188/rtp/239.16.20.234:12340
浉河广电中心,http://1.192.244.238:8188/rtp/239.16.10.72:2000
平桥广电中心,http://1.192.244.238:8188/rtp/239.16.10.73:2000
郸城,http://1.192.244.238:8188/rtp/239.16.10.84:2000
唐河TV-1,http://1.192.244.238:8188/rtp/239.16.10.95:2000
上蔡-1,http://1.192.244.238:8188/rtp/239.16.10.97:2000
舞阳新闻综合,http://1.192.244.238:8188/rtp/239.16.10.179:2000
临颍综合频道,http://1.192.244.238:8188/rtp/239.16.10.180:2000
项城电视台,http://1.192.244.238:8188/rtp/239.16.10.214:2000
河南都市频道,http://171.8.168.156:8800/rtp/239.16.20.164:11640
河南民生频道,http://171.8.168.156:8800/rtp/239.16.20.165:11650
河南法治频道,http://171.8.168.156:8800/rtp/239.16.10.122:2000
河南电视剧频道,http://171.8.168.156:8800/rtp/239.16.20.167:11670
河南新闻频道,http://171.8.168.156:8800/rtp/239.16.20.168:11680
河南乡村频道,http://171.8.168.156:8800/rtp/239.16.20.195:11950
河南戏曲频道,http://171.8.168.156:8800/rtp/239.16.20.171:11710
河南收藏天下,http://171.8.168.156:8800/rtp/239.16.10.149:2000
河南中华功夫,http://171.8.168.156:8800/rtp/239.16.20.173:11730
河南移动电视,http://171.8.168.156:8800/rtp/239.16.20.204:12040
河南调解剧场,http://171.8.168.156:8800/rtp/239.16.20.197:11970
河南移动戏曲,http://171.8.168.156:8800/rtp/239.16.20.120:11200
河南睛彩中原,http://171.8.168.156:8800/rtp/239.16.20.122:11220
郑州1新闻综合,http://171.8.168.156:8800/rtp/239.16.10.154:2000
郑州2商都频道,http://171.8.168.156:8800/rtp/239.16.10.155:2000
郑州3文体旅游,http://171.8.168.156:8800/rtp/239.16.10.156:2000
郑州4豫剧频道,http://171.8.168.156:8800/rtp/239.16.10.157:2000
郑州5妇女儿童,http://171.8.168.156:8800/rtp/239.16.10.158:2000
郑州6都市生活,http://171.8.168.156:8800/rtp/239.16.10.159:2000
洛阳-1新闻综合,http://171.8.168.156:8800/rtp/239.16.20.179:11790
洛阳-2科教频道,http://171.8.168.156:8800/rtp/239.16.20.177:11770
洛阳-3文旅频道,http://171.8.168.156:8800/rtp/239.16.20.178:11780
南阳1新闻综合,http://171.8.168.156:8800/rtp/239.16.10.58:2000
南阳2公共频道,http://171.8.168.156:8800/rtp/239.16.10.165:2000
南阳3科教频道,http://171.8.168.156:8800/rtp/239.16.10.164:2000
周口公共频道,http://171.8.168.156:8800/rtp/239.16.10.172:2000
周口教育频道,http://171.8.168.156:8800/rtp/239.16.10.173:2000
周口新闻综合,http://171.8.168.156:8800/rtp/239.16.10.59:2000
开封1新闻综合,http://171.8.168.156:8800/rtp/239.16.10.57:2000
开封2文化旅游,http://171.8.168.156:8800/rtp/239.16.10.177:2000
新乡公共频道,http://171.8.168.156:8800/rtp/239.16.20.154:11540
新乡新闻综合,http://171.8.168.156:8800/rtp/239.16.20.139:11390
焦作公共频道,http://171.8.168.156:8800/rtp/239.16.20.155:11550
焦作综合频道,http://171.8.168.156:8800/rtp/239.16.20.140:11400
漯河新闻综合,http://171.8.168.156:8800/rtp/239.16.10.49:2000
信阳新闻综合,http://171.8.168.156:8800/rtp/239.16.10.52:2000
信阳文旅频道,http://171.8.168.156:8800/rtp/239.16.10.71:2000
封丘1新闻综合,http://171.8.168.156:8800/rtp/239.16.20.19:10190
叶县电视台-1,http://171.8.168.156:8800/rtp/239.16.20.32:10320
新密综合频道,http://171.8.168.156:8800/rtp/239.16.20.41:10410
登封综合频道,http://171.8.168.156:8800/rtp/239.16.20.42:10420
巩义综合频道,http://171.8.168.156:8800/rtp/239.16.20.43:10430
新郑TV-1,http://171.8.168.156:8800/rtp/239.16.20.45:10450
渑池新闻综合,http://171.8.168.156:8800/rtp/239.16.20.47:10470
淅川电视台-1,http://171.8.168.156:8800/rtp/239.16.20.48:10480
新蔡TV,http://171.8.168.156:8800/rtp/239.16.20.49:10490
镇平新闻综合,http://171.8.168.156:8800/rtp/239.16.20.50:10500
宝丰TV-1,http://171.8.168.156:8800/rtp/239.16.20.63:10630
义马综合频道,http://171.8.168.156:8800/rtp/239.16.20.109:11090
鹤壁新闻综合,http://171.8.168.156:8800/rtp/239.16.20.142:11420
安阳新闻综合,http://171.8.168.156:8800/rtp/239.16.20.144:11440
三门峡新闻综合,http://171.8.168.156:8800/rtp/239.16.20.145:11450
卫辉综合频道,http://171.8.168.156:8800/rtp/239.16.20.191:11910
孟津综合综合,http://171.8.168.156:8800/rtp/239.16.20.192:11920
安阳文旅频道,http://171.8.168.156:8800/rtp/239.16.20.193:11930
淇县电视台,http://171.8.168.156:8800/rtp/239.16.20.205:12050
宜阳综合频道,http://171.8.168.156:8800/rtp/239.16.20.206:12060
汝阳综合频道,http://171.8.168.156:8800/rtp/239.16.20.207:12070
原阳电视台,http://171.8.168.156:8800/rtp/239.16.20.208:12080
宝丰-1,http://171.8.168.156:8800/rtp/239.16.20.209:12090
内黄综合频道,http://171.8.168.156:8800/rtp/239.16.20.228:12280
国学频道,http://171.8.168.156:8800/rtp/239.16.20.232:12320
郏县综合频道,http://171.8.168.156:8800/rtp/239.16.20.235:12350
禹州电视台,http://171.8.168.156:8800/rtp/239.16.10.39:2000
杞县新闻综合,http://171.8.168.156:8800/rtp/239.16.10.80:2000
永城新闻联播,http://171.8.168.156:8800/rtp/239.16.10.93:2000
光山综合频道,http://171.8.168.156:8800/rtp/239.16.10.94:2000
CETV-1,http://171.8.168.156:8800/rtp/239.16.20.78:10780
上海都市剧场,http://171.8.168.156:8800/rtp/239.16.20.38:10380
上海纪实人文,http://171.8.168.156:8800/rtp/239.16.20.124:11240
上海欢笑剧场,http://171.8.168.156:8800/rtp/239.16.20.39:10390
上海动漫秀场,http://171.8.168.156:8800/rtp/239.16.20.40:10400
上海东方财经,http://171.8.168.156:8800/rtp/239.16.20.64:10640
上海法治天地,http://171.8.168.156:8800/rtp/239.16.20.156:11560
上海乐游纪实,http://171.8.168.156:8800/rtp/239.16.20.111:11110
上海游戏风云,http://171.8.168.156:8800/rtp/239.16.20.112:11120
上海魅力足球,http://171.8.168.156:8800/rtp/239.16.20.113:11130
上海生活时尚,http://171.8.168.156:8800/rtp/239.16.20.114:11140
上海金色学堂,http://171.8.168.156:8800/rtp/239.16.20.115:11150
湖南金鹰纪实,http://171.8.168.156:8800/rtp/239.16.20.153:11530
湖南金鹰卡通,http://171.8.168.156:8800/rtp/239.16.20.104:11040
湖南快乐垂钓,http://171.8.168.156:8800/rtp/239.16.20.67:10670
湖南茶频道,http://171.8.168.156:8800/rtp/239.16.20.68:10680
IPTV导视,http://171.8.168.156:8800/rtp/239.16.10.218:2000
体育赛事,http://171.8.168.156:8800/rtp/239.16.20.128:11280
中华特产,http://171.8.168.156:8800/rtp/239.16.20.132:11320
商丘1新闻综合,http://171.8.168.156:8800/rtp/239.16.10.153:2000
商丘2公共频道,http://171.8.168.156:8800/rtp/239.16.10.168:2000
商丘3文体科教,http://171.8.168.156:8800/rtp/239.16.10.169:2000
许昌农业科教,http://171.8.168.156:8800/rtp/239.16.10.60:2000
许昌综合频道,http://171.8.168.156:8800/rtp/239.16.10.47:2000
平顶山新闻综合,http://171.8.168.156:8800/rtp/239.16.20.137:11370
平顶山城市频道,http://171.8.168.156:8800/rtp/239.16.20.151:11510
平顶山公共频道,http://171.8.168.156:8800/rtp/239.16.20.152:11520
平顶山教育台,http://171.8.168.156:8800/rtp/239.16.20.27:10270
新乡综合频道,http://171.8.168.156:8800/rtp/239.16.20.18:10180
邓州综合频道,http://171.8.168.156:8800/rtp/239.16.20.20:10200
获嘉综合频道,http://171.8.168.156:8800/rtp/239.16.20.25:10250
平煤安全环保,http://171.8.168.156:8800/rtp/239.16.20.31:10310
荥阳综合频道,http://171.8.168.156:8800/rtp/239.16.20.44:10440
健康河南融媒,http://171.8.168.156:8800/rtp/239.16.20.52:10520
灵宝综合频道,http://171.8.168.156:8800/rtp/239.16.20.59:10590
渑池新闻综合,http://171.8.168.156:8800/rtp/239.16.20.135:11350
济源-1,http://171.8.168.156:8800/rtp/239.16.20.174:11740
濮阳新闻综合,http://171.8.168.156:8800/rtp/239.16.20.175:11750
濮阳公共频道,http://171.8.168.156:8800/rtp/239.16.20.184:11840
新县综合频道,http://171.8.168.156:8800/rtp/239.16.20.183:11830
延津电视台,http://171.8.168.156:8800/rtp/239.16.20.210:12100
体育赛事,http://171.8.168.156:8800/rtp/239.16.20.215:12150
大象新闻,http://171.8.168.156:8800/rtp/239.16.20.216:12160
大剧院,http://171.8.168.156:8800/rtp/239.16.20.217:12170
舞钢电视台-1,http://171.8.168.156:8800/rtp/239.16.20.227:12270
嵩县综合新闻,http://171.8.168.156:8800/rtp/239.16.20.234:12340
浉河广电中心,http://171.8.168.156:8800/rtp/239.16.10.72:2000
平桥广电中心,http://171.8.168.156:8800/rtp/239.16.10.73:2000
郸城,http://171.8.168.156:8800/rtp/239.16.10.84:2000
唐河TV-1,http://171.8.168.156:8800/rtp/239.16.10.95:2000
上蔡-1,http://171.8.168.156:8800/rtp/239.16.10.97:2000
舞阳新闻综合,http://171.8.168.156:8800/rtp/239.16.10.179:2000
临颍综合频道,http://171.8.168.156:8800/rtp/239.16.10.180:2000
项城电视台,http://171.8.168.156:8800/rtp/239.16.10.214:2000
河南都市频道,http://171.8.170.20:8800/rtp/239.16.20.164:11640
河南民生频道,http://171.8.170.20:8800/rtp/239.16.20.165:11650
河南法治频道,http://171.8.170.20:8800/rtp/239.16.10.122:2000
河南电视剧频道,http://171.8.170.20:8800/rtp/239.16.20.167:11670
河南新闻频道,http://171.8.170.20:8800/rtp/239.16.20.168:11680
河南乡村频道,http://171.8.170.20:8800/rtp/239.16.20.195:11950
河南戏曲频道,http://171.8.170.20:8800/rtp/239.16.20.171:11710
河南收藏天下,http://171.8.170.20:8800/rtp/239.16.10.149:2000
河南中华功夫,http://171.8.170.20:8800/rtp/239.16.20.173:11730
河南移动电视,http://171.8.170.20:8800/rtp/239.16.20.204:12040
河南调解剧场,http://171.8.170.20:8800/rtp/239.16.20.197:11970
河南移动戏曲,http://171.8.170.20:8800/rtp/239.16.20.120:11200
河南睛彩中原,http://171.8.170.20:8800/rtp/239.16.20.122:11220
郑州1新闻综合,http://171.8.170.20:8800/rtp/239.16.10.154:2000
郑州2商都频道,http://171.8.170.20:8800/rtp/239.16.10.155:2000
郑州3文体旅游,http://171.8.170.20:8800/rtp/239.16.10.156:2000
郑州4豫剧频道,http://171.8.170.20:8800/rtp/239.16.10.157:2000
郑州5妇女儿童,http://171.8.170.20:8800/rtp/239.16.10.158:2000
郑州6都市生活,http://171.8.170.20:8800/rtp/239.16.10.159:2000
洛阳-1新闻综合,http://171.8.170.20:8800/rtp/239.16.20.179:11790
洛阳-2科教频道,http://171.8.170.20:8800/rtp/239.16.20.177:11770
洛阳-3文旅频道,http://171.8.170.20:8800/rtp/239.16.20.178:11780
南阳1新闻综合,http://171.8.170.20:8800/rtp/239.16.10.58:2000
南阳2公共频道,http://171.8.170.20:8800/rtp/239.16.10.165:2000
南阳3科教频道,http://171.8.170.20:8800/rtp/239.16.10.164:2000
周口公共频道,http://171.8.170.20:8800/rtp/239.16.10.172:2000
周口教育频道,http://171.8.170.20:8800/rtp/239.16.10.173:2000
周口新闻综合,http://171.8.170.20:8800/rtp/239.16.10.59:2000
开封1新闻综合,http://171.8.170.20:8800/rtp/239.16.10.57:2000
开封2文化旅游,http://171.8.170.20:8800/rtp/239.16.10.177:2000
新乡公共频道,http://171.8.170.20:8800/rtp/239.16.20.154:11540
新乡新闻综合,http://171.8.170.20:8800/rtp/239.16.20.139:11390
焦作公共频道,http://171.8.170.20:8800/rtp/239.16.20.155:11550
焦作综合频道,http://171.8.170.20:8800/rtp/239.16.20.140:11400
漯河新闻综合,http://171.8.170.20:8800/rtp/239.16.10.49:2000
信阳新闻综合,http://171.8.170.20:8800/rtp/239.16.10.52:2000
信阳文旅频道,http://171.8.170.20:8800/rtp/239.16.10.71:2000
封丘1新闻综合,http://171.8.170.20:8800/rtp/239.16.20.19:10190
叶县电视台-1,http://171.8.170.20:8800/rtp/239.16.20.32:10320
新密综合频道,http://171.8.170.20:8800/rtp/239.16.20.41:10410
登封综合频道,http://171.8.170.20:8800/rtp/239.16.20.42:10420
巩义综合频道,http://171.8.170.20:8800/rtp/239.16.20.43:10430
新郑TV-1,http://171.8.170.20:8800/rtp/239.16.20.45:10450
渑池新闻综合,http://171.8.170.20:8800/rtp/239.16.20.47:10470
淅川电视台-1,http://171.8.170.20:8800/rtp/239.16.20.48:10480
新蔡TV,http://171.8.170.20:8800/rtp/239.16.20.49:10490
镇平新闻综合,http://171.8.170.20:8800/rtp/239.16.20.50:10500
宝丰TV-1,http://171.8.170.20:8800/rtp/239.16.20.63:10630
义马综合频道,http://171.8.170.20:8800/rtp/239.16.20.109:11090
鹤壁新闻综合,http://171.8.170.20:8800/rtp/239.16.20.142:11420
安阳新闻综合,http://171.8.170.20:8800/rtp/239.16.20.144:11440
三门峡新闻综合,http://171.8.170.20:8800/rtp/239.16.20.145:11450
卫辉综合频道,http://171.8.170.20:8800/rtp/239.16.20.191:11910
孟津综合综合,http://171.8.170.20:8800/rtp/239.16.20.192:11920
安阳文旅频道,http://171.8.170.20:8800/rtp/239.16.20.193:11930
淇县电视台,http://171.8.170.20:8800/rtp/239.16.20.205:12050
宜阳综合频道,http://171.8.170.20:8800/rtp/239.16.20.206:12060
汝阳综合频道,http://171.8.170.20:8800/rtp/239.16.20.207:12070
原阳电视台,http://171.8.170.20:8800/rtp/239.16.20.208:12080
宝丰-1,http://171.8.170.20:8800/rtp/239.16.20.209:12090
内黄综合频道,http://171.8.170.20:8800/rtp/239.16.20.228:12280
国学频道,http://171.8.170.20:8800/rtp/239.16.20.232:12320
郏县综合频道,http://171.8.170.20:8800/rtp/239.16.20.235:12350
禹州电视台,http://171.8.170.20:8800/rtp/239.16.10.39:2000
杞县新闻综合,http://171.8.170.20:8800/rtp/239.16.10.80:2000
永城新闻联播,http://171.8.170.20:8800/rtp/239.16.10.93:2000
光山综合频道,http://171.8.170.20:8800/rtp/239.16.10.94:2000
CETV-1,http://171.8.170.20:8800/rtp/239.16.20.78:10780
上海都市剧场,http://171.8.170.20:8800/rtp/239.16.20.38:10380
上海纪实人文,http://171.8.170.20:8800/rtp/239.16.20.124:11240
上海欢笑剧场,http://171.8.170.20:8800/rtp/239.16.20.39:10390
上海动漫秀场,http://171.8.170.20:8800/rtp/239.16.20.40:10400
上海东方财经,http://171.8.170.20:8800/rtp/239.16.20.64:10640
上海法治天地,http://171.8.170.20:8800/rtp/239.16.20.156:11560
上海乐游纪实,http://171.8.170.20:8800/rtp/239.16.20.111:11110
上海游戏风云,http://171.8.170.20:8800/rtp/239.16.20.112:11120
上海魅力足球,http://171.8.170.20:8800/rtp/239.16.20.113:11130
上海生活时尚,http://171.8.170.20:8800/rtp/239.16.20.114:11140
上海金色学堂,http://171.8.170.20:8800/rtp/239.16.20.115:11150
湖南金鹰纪实,http://171.8.170.20:8800/rtp/239.16.20.153:11530
湖南金鹰卡通,http://171.8.170.20:8800/rtp/239.16.20.104:11040
湖南快乐垂钓,http://171.8.170.20:8800/rtp/239.16.20.67:10670
湖南茶频道,http://171.8.170.20:8800/rtp/239.16.20.68:10680
IPTV导视,http://171.8.170.20:8800/rtp/239.16.10.218:2000
体育赛事,http://171.8.170.20:8800/rtp/239.16.20.128:11280
中华特产,http://171.8.170.20:8800/rtp/239.16.20.132:11320
商丘1新闻综合,http://171.8.170.20:8800/rtp/239.16.10.153:2000
商丘2公共频道,http://171.8.170.20:8800/rtp/239.16.10.168:2000
商丘3文体科教,http://171.8.170.20:8800/rtp/239.16.10.169:2000
许昌农业科教,http://171.8.170.20:8800/rtp/239.16.10.60:2000
许昌综合频道,http://171.8.170.20:8800/rtp/239.16.10.47:2000
平顶山新闻综合,http://171.8.170.20:8800/rtp/239.16.20.137:11370
平顶山城市频道,http://171.8.170.20:8800/rtp/239.16.20.151:11510
平顶山公共频道,http://171.8.170.20:8800/rtp/239.16.20.152:11520
平顶山教育台,http://171.8.170.20:8800/rtp/239.16.20.27:10270
新乡综合频道,http://171.8.170.20:8800/rtp/239.16.20.18:10180
邓州综合频道,http://171.8.170.20:8800/rtp/239.16.20.20:10200
获嘉综合频道,http://171.8.170.20:8800/rtp/239.16.20.25:10250
平煤安全环保,http://171.8.170.20:8800/rtp/239.16.20.31:10310
荥阳综合频道,http://171.8.170.20:8800/rtp/239.16.20.44:10440
健康河南融媒,http://171.8.170.20:8800/rtp/239.16.20.52:10520
灵宝综合频道,http://171.8.170.20:8800/rtp/239.16.20.59:10590
渑池新闻综合,http://171.8.170.20:8800/rtp/239.16.20.135:11350
济源-1,http://171.8.170.20:8800/rtp/239.16.20.174:11740
濮阳新闻综合,http://171.8.170.20:8800/rtp/239.16.20.175:11750
濮阳公共频道,http://171.8.170.20:8800/rtp/239.16.20.184:11840
新县综合频道,http://171.8.170.20:8800/rtp/239.16.20.183:11830
延津电视台,http://171.8.170.20:8800/rtp/239.16.20.210:12100
体育赛事,http://171.8.170.20:8800/rtp/239.16.20.215:12150
大象新闻,http://171.8.170.20:8800/rtp/239.16.20.216:12160
大剧院,http://171.8.170.20:8800/rtp/239.16.20.217:12170
舞钢电视台-1,http://171.8.170.20:8800/rtp/239.16.20.227:12270
嵩县综合新闻,http://171.8.170.20:8800/rtp/239.16.20.234:12340
浉河广电中心,http://171.8.170.20:8800/rtp/239.16.10.72:2000
平桥广电中心,http://171.8.170.20:8800/rtp/239.16.10.73:2000
郸城,http://171.8.170.20:8800/rtp/239.16.10.84:2000
唐河TV-1,http://171.8.170.20:8800/rtp/239.16.10.95:2000
上蔡-1,http://171.8.170.20:8800/rtp/239.16.10.97:2000
舞阳新闻综合,http://171.8.170.20:8800/rtp/239.16.10.179:2000
临颍综合频道,http://171.8.170.20:8800/rtp/239.16.10.180:2000
项城电视台,http://171.8.170.20:8800/rtp/239.16.10.214:2000
河南都市频道,http://171.8.170.217:8800/rtp/239.16.20.164:11640
